"Locatie";"Tagnaam";"Datum";"Tijd (Europe/Amsterdam)";"Waarde";"Valid flag"
"DYLP029A";"B1_mwf";"2016-09-01";"08:00:00";"991,8";""
"DYLP029A";"B1_mwf";"2016-09-01";"09:00:00";"998,33";""
"DYLP029A";"B1_mwf";"2016-09-01";"10:00:00";"1005,55";""
"DYLP029A";"B1_mwf";"2016-09-01";"11:00:00";"1011,58";""
"DYLP029A";"B1_mwf";"2016-09-01";"12:00:00";"1018,5";""
"DYLP029A";"B1_mwf";"2016-09-01";"13:00:00";"1025,35";""
"DYLP029A";"B1_mwf";"2016-09-01";"14:00:00";"1033,1";""
"DYLP029A";"B1_mwf";"2016-09-01";"15:00:00";"1036,15";""
"DYLP029A";"B1_mwf";"2016-09-01";"16:00:00";"1036,25";""
"DYLP029A";"B1_mwf";"2016-09-01";"17:00:00";"1037,8";""
"DYLP029A";"B1_mwf";"2016-09-01";"18:00:00";"1037,8";""
"DYLP029A";"B1_mwf";"2016-09-01";"21:00:00";"1020,15";""
"DYLP029A";"B1_mwf";"2016-09-02";"00:00:00";"1000,65";""
"DYLP029A";"B1_mwf";"2016-09-02";"01:00:00";"997";""
"DYLP029A";"B1_mwf";"2016-09-02";"02:00:00";"993,93";""
"DYLP029A";"B1_mwf";"2016-09-02";"03:00:00";"991,48";""
"DYLP029A";"B1_mwf";"2016-09-02";"04:00:00";"989,25";""
"DYLP029A";"B1_mwf";"2016-09-02";"05:00:00";"987,2";""
"DYLP029A";"B1_mwf";"2016-09-02";"06:00:00";"985,98";""
"DYLP029A";"B1_mwf";"2016-09-02";"07:00:00";"984,65";""
"DYLP029A";"B1_mwf";"2016-09-02";"08:00:00";"983,23";""
"DYLP029A";"B1_mwf";"2016-09-02";"09:00:00";"986,9";""
"DYLP029A";"B1_mwf";"2016-09-02";"10:00:00";"997,7";""
"DYLP029A";"B1_mwf";"2016-09-02";"11:00:00";"1007,4";""
"DYLP029A";"B1_mwf";"2016-09-02";"12:00:00";"1015,95";""
"DYLP029A";"B1_mwf";"2016-09-02";"13:00:00";"1023,7";""
"DYLP029A";"B1_mwf";"2016-09-02";"14:00:00";"1027,78";""
"DYLP029A";"B1_mwf";"2016-09-02";"15:00:00";"1031,45";""
"DYLP029A";"B1_mwf";"2016-09-02";"16:00:00";"1032,88";""
"DYLP029A";"B1_mwf";"2016-09-02";"17:00:00";"1032,88";""
"DYLP029A";"B1_mwf";"2016-09-02";"18:00:00";"1031,78";""
"DYLP029A";"B1_mwf";"2016-09-02";"21:00:00";"1024,83";""
"DYLP029A";"B1_mwf";"2016-09-03";"00:00:00";"1013,5";""
"DYLP029A";"B1_mwf";"2016-09-03";"03:00:00";"1000,25";""
"DYLP029A";"B1_mwf";"2016-09-03";"06:00:00";"995,88";""
"DYLP029A";"B1_mwf";"2016-09-03";"08:00:00";"996,58";""
"DYLP029A";"B1_mwf";"2016-09-03";"09:00:00";"999,75";""
"DYLP029A";"B1_mwf";"2016-09-03";"10:00:00";"1004,95";""
"DYLP029A";"B1_mwf";"2016-09-03";"11:00:00";"1010,95";""
"DYLP029A";"B1_mwf";"2016-09-03";"12:00:00";"1016,5";""
"DYLP029A";"B1_mwf";"2016-09-03";"13:00:00";"1021,25";""
"DYLP029A";"B1_mwf";"2016-09-03";"14:00:00";"1027,8";""
"DYLP029A";"B1_mwf";"2016-09-03";"15:00:00";"1034";""
"DYLP029A";"B1_mwf";"2016-09-03";"16:00:00";"1036,5";""
"DYLP029A";"B1_mwf";"2016-09-03";"18:00:00";"1034,93";""
"DYLP029A";"B1_mwf";"2016-09-03";"21:00:00";"1021,68";""
"DYLP029A";"B1_mwf";"2016-09-04";"00:00:00";"1005,25";""
"DYLP029A";"B1_mwf";"2016-09-04";"03:00:00";"1005,15";""
"DYLP029A";"B1_mwf";"2016-09-04";"06:00:00";"1011,28";""
"DYLP029A";"B1_mwf";"2016-09-04";"08:00:00";"1014,23";""
"DYLP029A";"B1_mwf";"2016-09-04";"09:00:00";"1016,38";""
"DYLP029A";"B1_mwf";"2016-09-04";"10:00:00";"1019,53";""
"DYLP029A";"B1_mwf";"2016-09-04";"11:00:00";"1020,55";""
"DYLP029A";"B1_mwf";"2016-09-04";"12:00:00";"1021,48";""
"DYLP029A";"B1_mwf";"2016-09-04";"13:00:00";"1023,7";""
"DYLP029A";"B1_mwf";"2016-09-04";"14:00:00";"1024,3";""
"DYLP029A";"B1_mwf";"2016-09-04";"15:00:00";"1026,15";""
"DYLP029A";"B1_mwf";"2016-09-04";"16:00:00";"1024,93";""
"DYLP029A";"B1_mwf";"2016-09-04";"17:00:00";"1022,7";""
"DYLP029A";"B1_mwf";"2016-09-04";"18:00:00";"1020,35";""
"DYLP029A";"B1_mwf";"2016-09-04";"19:00:00";"1018,2";""
"DYLP029A";"B1_mwf";"2016-09-04";"20:00:00";"1016,48";""
"DYLP029A";"B1_mwf";"2016-09-04";"21:00:00";"1014,63";""
"DYLP029A";"B1_mwf";"2016-09-04";"22:00:00";"1013,1";""
"DYLP029A";"B1_mwf";"2016-09-04";"23:00:00";"1010,75";""
"DYLP029A";"B1_mwf";"2016-09-05";"00:00:00";"1008,93";""
